X,Y,Filename,Date and t,Camera man,Latitude,Longitude,GPS Direct,LIEN_PHOTO
-60.813384,14.476246,rivages_1475759637995_photo_3.jpg,2016:10:06 09:08:20,SAMSUNG SM-G357FZ,14.476246000000000,-60.813383999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475759637995_photo_3.jpg
-60.813382,14.476248,rivages_1475759637995_photo_4.jpg,2016:10:06 09:08:29,SAMSUNG SM-G357FZ,14.476248000000000,-60.813381999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475759637995_photo_4.jpg
-60.813759,14.47387,rivages_1475760547196_photo_1.jpg,2016:10:06 09:19:14,SAMSUNG SM-G357FZ,14.473870000000000,-60.813758999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_1.jpg
-60.813772,14.473867,rivages_1475760547196_photo_2.jpg,2016:10:06 09:19:34,SAMSUNG SM-G357FZ,14.473867000000000,-60.813772000000000,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_2.jpg
-60.815389,14.473444,rivages_1475760547196_photo_3.jpg,2016:10:06 09:22:54,SAMSUNG SM-G357FZ,14.473444000000001,-60.815389000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_3.jpg
-60.815385,14.473438,rivages_1475760547196_photo_4.jpg,2016:10:06 09:23:08,SAMSUNG SM-G357FZ,14.473438000000000,-60.815384999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_4.jpg
-60.817128,14.472463,rivages_1475760547196_photo_5.jpg,2016:10:06 09:27:52,SAMSUNG SM-G357FZ,14.472462999999999,-60.817127999999997,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_5.jpg
-60.817191,14.472424,rivages_1475760547196_photo_6.jpg,2016:10:06 09:28:32,SAMSUNG SM-G357FZ,14.472424000000000,-60.817191000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475760547196_photo_6.jpg
-60.822721,14.508301,rivages_1475765578346_photo_1.jpg,2016:10:06 10:44:05,SAMSUNG SM-G357FZ,14.508300999999999,-60.822721000000001,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475765578346_photo_1.jpg
-60.822715,14.508288,rivages_1475765578346_photo_2.jpg,2016:10:06 10:44:36,SAMSUNG SM-G357FZ,14.508288000000000,-60.822715000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475765578346_photo_2.jpg
-60.829534,14.542576,rivages_1475769296543_photo_1.jpg,2016:10:06 11:49:15,SAMSUNG SM-G357FZ,14.542576000000000,-60.829534000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475769296543_photo_1.jpg
-60.82856,14.540552,rivages_1475769296543_photo_2.jpg,2016:10:06 11:53:28,SAMSUNG SM-G357FZ,14.540552000000000,-60.828560000000003,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475769296543_photo_2.jpg
-60.828342,14.540015,rivages_1475769296543_photo_3.jpg,2016:10:06 11:54:49,SAMSUNG SM-G357FZ,14.540015000000000,-60.828341999999999,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475769296543_photo_3.jpg
-60.82914,14.541769,rivages_1475770004546_photo_1.jpg,2016:10:06 12:03:55,SAMSUNG SM-G357FZ,14.541769000000000,-60.829140000000002,,http://geolittoral.application.developpement-durable.gouv.fr/telechargement/tc_smartphone/photos/rivages_1475770004546_photo_1.jpg
